的	〔白_勹_丶〕
怒	〔女_又_心〕
坦	〔土_日_一〕
损	〔扌_口_贝〕
硬	〔石_一_日_乂〕
授	〔扌_爫_冖_又〕
埃	〔土_厶_矢〕
虚	〔虍_业〕
诚	〔讠_戊_〕
陆	〔阝__凵〕
逃	〔辶__儿〕
森	〔木_木_木〕
墙	〔土_十__囗_口〕
麻	〔广_木_木〕
鱼	〔鱼〕
爵	〔爫_罒__寸〕
缓	〔纟_爫_一__又〕
淡	〔氵_火_火〕
喊	〔口_戊_一_口〕
凤	〔几_又〕
冰	〔冫_水〕
宫	〔宀_口_口〕
隐	〔阝_⺈_彐_心〕
宗	〔宀_示〕
弱	〔弓_冫_弓_冫〕
骨	〔骨〕
懂	〔忄_艹_千_日_二〕
附	〔阝_亻_寸〕
避	〔辶_尸_口_辛〕
透	〔辶_禾__丿〕
刺	〔木_冂_刂〕
抽	〔扌_由〕
召	〔刀_口〕
牙	〔牙〕
汇	〔氵_匚〕
码	〔石_马〕
欲	〔八_人_口_欠〕
纷	〔纟_八_刀〕
乔	〔_大_〕
徐	〔彳_人_〕
宽	〔宀_艹_见〕
遗	〔辶_中_一_贝〕
驻	〔马_丶_王〕
载	〔𢦏_〕
仁	〔亻_二〕
蒂	〔艹__冖_巾〕
洗	〔氵_⺧_儿〕
释	〔釆_又_〕
桥	〔木__大_〕
拜	〔_一_丰〕
签	〔⺮_人_二_〕
航	〔舟_亠_几〕
迅	〔辶_⺄_十〕
择	〔扌_又_〕
迹	〔辶_亠__八〕
描	〔扌_艹_田〕
课	〔讠_日_木〕
拍	〔扌_白〕
泰	〔_氺〕
乌	〔乌〕
浪	〔氵_丶_艮〕
川	〔川〕
扶	〔扌_二_人〕
译	〔讠_又_〕
恨	〔忄_艮〕
彻	〔彳__刀〕
幅	〔巾_一_口_田〕
皇	〔白_王〕
途	〔辶_人_〕
残	〔一_夕_戋〕
岗	〔山_冈〕
姆	〔女_母〕
障	〔阝_立_日_十〕
厚	〔厂_日_子〕
佩	〔亻_几_一_巾〕
圆	〔囗_口_贝〕
折	〔扌_斤〕
符	〔⺮_亻_寸〕
丹	〔_亠〕
玛	〔王_马〕
旗	〔方__其〕
贯	〔_丨_一_贝〕
韩	〔十_日_十__〕
叹	〔口_又〕
瞧	〔目_隹_灬〕
闭	〔门__丿〕
违	〔辶__〕
孔	〔子_乚〕
津	〔氵_肀_二〕
亡	〔亡〕
忠	〔中_心〕
柔	〔_乛_亅_丿_木〕
祝	〔礻_口_儿〕
寒	〔宀__八_〕
偏	〔亻_户_〕
繁	〔_母_攵_糸〕
烦	〔火_页〕
杜	〔木_土〕
婆	〔氵_皮_女〕
伍	〔亻_工_〕
键	〔钅_廴_肀_二〕
季	〔禾_子〕
享	〔亠_口_子〕
怜	〔忄_人_〕
延	〔廴__止〕
迫	〔辶_白〕
播	〔扌_釆_田〕
狂	〔犭_王〕
徒	〔彳_走〕
眉	〔_目〕
烧	〔火__兀〕
劲	〔_工_力〕
舍	〔人_舌〕
聚	〔耳_又_乑〕
挑	〔扌__儿〕
戴	〔𢦏_田__八〕
闲	〔门_木〕
虎	〔虍_几〕
申	〔申〕
巧	〔工_一_〕
抢	〔扌_人_⺋〕
累	〔田_糸〕
蓝	〔艹_〢__皿〕
肩	〔户_〕
沿	〔氵_几_口〕
唯	〔口_隹〕
振	〔扌_辰〕
抵	〔扌_氏_丶〕
朗	〔丶__月〕
抬	〔扌_厶_口〕
偷	〔亻_人_一__刂〕
狗	〔犭_勹_口〕
绩	〔纟_龶_贝〕
洞	〔氵_同〕
混	〔氵_日__匕〕
扎	〔扌_乚〕
伴	〔亻_半〕
震	〔_辰〕
乃	〔_丿〕
袋	〔亻_弋_亠_〕
诸	〔讠_者〕
沈	〔氵_冖_儿〕
佳	〔亻_土_土〕
摸	〔扌_艹_日_大〕
署	〔罒_者〕
径	〔彳__工〕
昨	〔日__〕
珍	〔王_人_彡〕
奔	〔大_十_廾〕
冬	〔夂_〕
潮	〔氵_十_日_十_月〕
筑	〔⺮_工_几_丶〕
芳	〔艹_方〕
妙	〔女_小_丿〕
摄	〔扌_耳_又_又〕
麦	〔龶_夂〕
综	〔纟_宀_示〕
夺	〔大_寸〕
迪	〔辶_由〕
穷	〔穴_力〕
乘	〔禾__匕〕
启	〔户_口〕
泛	〔氵__之〕
琴	〔王_王_人_丶_〕
鹏	〔月_月_鸟〕
辑	〔_口_耳〕
呆	〔口_木〕
彼	〔彳_皮〕
仪	〔亻_丶_乂〕
纯	〔纟__凵〕
宜	〔宀_且〕
猛	〔犭_子_皿〕
冒	〔日_目〕
谋	〔讠_甘_木〕
腿	〔月_辶_艮〕
践	〔_戋〕
赏	〔⺌_冖_口_贝〕
邦	〔三_丿_阝〕
灰	〔_火〕
厉	〔厂_一__丿〕
染	〔氵_九_木〕
胸	〔月_勹_乂_凵〕
骂	〔口_口_马〕
末	〔一_木〕
餐	〔_夕_又_食〕
壮	〔丬_士〕
迟	〔辶_尸_丶〕
碰	〔石__业〕
糊	〔米_十_口_月〕
钢	〔钅_冈〕
惯	〔忄__丨_一_贝〕
辛	〔辛〕
涉	〔氵_止_〕
横	〔木__由_八〕
辈	〔非_车〕
胆	〔月_日_一〕
弃	〔亠_厶_廾〕
峰	〔山_夂_丰〕
宋	〔宀_木〕
贡	〔工_贝〕
氏	〔氏〕
谷	〔八_人_口〕
仙	〔亻_山〕
疗	〔疒_了〕
洁	〔氵_士_口〕
缩	〔纟_宀_亻_一_白〕
尖	〔小_大〕
贷	〔亻_弋_贝〕
壁	〔尸_口_辛_土〕
遭	〔辶_艹_日_日〕
朵	〔几_木〕
晨	〔日_辰〕
币	〔_巾〕
铺	〔钅_甫〕
订	〔讠_丁〕
植	〔木_十_〕
番	〔釆_田〕
隔	〔阝_一_口_〕
灭	〔一_火〕
冠	〔冖_二_儿_寸〕
梁	〔氵_刀_八_木〕
叔	〔_一_小_又〕
兼	〔_〕
辆	〔_一_冂_人_人〕
吹	〔口_欠〕
艰	〔又_艮〕
暴	〔日__八_氺〕
陪	〔阝_立_口〕
惜	〔忄__日〕
触	〔⺈_用_虫〕
弗	〔弓_〕
愈	〔人_一__刂_心〕
俗	〔亻_八_人_口〕
凯	〔山__几〕
污	〔氵_二_〕
忧	〔忄_尤〕
缘	〔纟__豕〕
郎	〔丶__阝〕
净	〔冫_⺈_〕
贴	〔贝__口〕
悉	〔釆_心〕
辞	〔舌_辛〕
荒	〔艹_亡_〕
勤	〔廿_口_龶_力〕
恢	〔忄__火〕
疾	〔疒_矢〕
债	〔亻_龶_贝〕
奉	〔_〕
辉	〔⺌_兀_冖_车〕
询	〔讠_勹_日〕
励	〔厂_一__丿_力〕
黎	〔禾_勹_丿_人_氺〕
郑	〔_大_阝〕
堆	〔土_隹〕
甲	〔甲〕
坡	〔土_皮〕
骑	〔马_大_丁_口〕
慰	〔尸_示_寸_心〕
忆	〔忄_乙〕
艾	〔艹_乂〕
柳	〔木__丿_卩〕
莉	〔艹_禾_刂〕
储	〔亻_讠_者〕
零	〔_人_〕
圈	〔囗__⺋〕
鸡	〔又_鸟〕
宏	〔宀__厶〕
犹	〔犭_尤〕
惠	〔_心〕
舒	〔人_舌__乛_亅〕
卢	〔_尸〕
宾	〔宀_丘_八〕
貌	〔豸_白_儿〕
孤	〔子_瓜〕
距	〔_匚_〕
悄	〔忄_⺌_〕
镜	〔钅_立_日_儿〕
菲	〔艹_非〕
墨	〔_土_灬_土〕
椅	〔木_大_丁_口〕
魂	〔二_厶_鬼〕
裁	〔𢦏_亠_〕
鸟	〔鸟〕
锦	〔钅_白_巾〕
粗	〔米_且〕
凭	〔亻__士_几〕
绕	〔纟__兀〕
凉	〔冫_亠_口_小〕
薄	〔艹_氵_甫_寸〕
秦	〔_禾〕
腰	〔月_覀_女〕
晴	〔日_龶_〕
摩	〔广_木_木_手〕
誉	〔_一_八_言〕
赫	〔土__八_土__八〕
羊	〔羊〕
筹	〔⺮_三_丿_寸〕
亏	〔二_〕
枝	〔木_十_又〕
箱	〔⺮_木_目〕
竹	〔_丨__亅〕
倾	〔亻__页〕
跃	〔__大〕
亩	〔亠_田〕
牧	〔牜_攵〕
稍	〔禾_⺌_〕
邀	〔辶_白_方_攵〕
敏	〔_母_攵〕
插	〔扌_千_臼〕
颜	〔立_丿_彡_页〕
递	〔辶_丷_〕
函	〔乛_氺_凵〕
欣	〔斤_欠〕
荡	〔艹_氵__〕
刑	〔一_廾_刂〕
凝	〔冫_匕_矢__乛_〕
矿	〔石_广〕
泥	〔氵_尸_匕〕
皆	〔_匕_白〕
寄	〔宀_大_丁_口〕
躺	〔身_⺌_冋〕
旦	〔日_一〕
慧	〔丰_丰_彐_心〕
厌	〔厂_大_丶〕
跨	〔_大_二_〕
孟	〔子_皿〕
祥	〔礻_羊〕
邮	〔由_阝〕
览	〔〢__见〕
隆	〔阝_夂_一_生〕
拒	〔扌_匚_〕
吓	〔口_一_卜〕
鼻	〔自_田_一_〕
肃	〔肀__八〕
扫	〔扌_彐〕
殊	〔一_夕__小〕
董	〔艹_千_日_二〕
丢	〔_土_厶〕
臣	〔臣〕
翠	〔习_习_亠_人_人_十〕
腐	〔广_亻_寸_冂_人_人〕
倍	〔亻_立_口〕
赖	〔木_口_⺈_贝〕
援	〔扌_爫_一__又〕
粉	〔米_八_刀〕
漫	〔氵_日_罒_又〕
盾	〔⺁_十_目〕
豪	〔亠_口_冖_豕〕
臂	〔尸_口_辛_〕
罚	〔罒_讠_刂〕
昌	〔日_日〕
恰	〔忄_人_一_口〕
井	〔二_〕
侧	〔亻_贝_刂〕
汗	〔氵_一_十〕
碎	〔石_亠_人_人_十〕
桑	〔又_又_又_木〕
邻	〔人__阝〕
纵	〔纟_人_人〕
仆	〔亻_卜〕
磨	〔广_木_木_石〕
阔	〔门_氵_舌〕
俩	〔亻_一_冂_人_人〕
匆	〔勹__丶〕
廉	〔广__〕
骗	〔马_户_〕
挺	〔扌_廴__士〕
阻	〔阝_且〕
贺	〔力_口_贝〕
毁	〔臼_工_殳〕
拖	〔扌__也〕
仰	〔亻__卩〕
拔	〔扌__又_丶〕
鞋	〔革_土_土〕
恋	〔_心〕
漂	〔氵_覀_示〕
妮	〔女_尸_匕〕
匹	〔匚_儿〕
昏	〔氏_日〕
魔	〔广_木_木_鬼〕
甘	〔甘〕
炸	〔火__〕
帽	〔巾_日_目〕
挤	〔扌_文_〕
劝	〔又_力〕
废	〔广__丿_又_丶〕
暂	〔_斤_日〕
伏	〔亻_大_丶〕
勃	〔十_冖_子_力〕
莎	〔艹_氵_小_丿〕
吨	〔口__凵〕
侵	〔亻_彐_冖_又〕
乏	〔_之〕
棉	〔木_白_巾〕
唇	〔辰_口〕
趋	〔走_⺈_彐〕
浮	〔氵_爫_子〕
陶	〔阝_勹__十_凵〕
肥	〔月_巴〕
吕	〔口_口〕
拓	〔扌_石〕
患	〔口_口_丨_心〕
矛	〔_乛_亅_丿〕
滚	〔氵_亠_八_厶_〕
愤	〔忄_十_艹_贝〕
芬	〔艹_八_刀〕
剩	〔禾__匕_刂〕
哀	〔亠_口_〕
吾	〔工__口〕
扑	〔扌_卜〕
搬	〔扌_舟_殳〕
耐	〔而_寸〕
媒	〔女_甘_木〕
斤	〔斤〕
陷	〔阝_⺈_臼〕
猜	〔犭_龶_〕
耶	〔耳_阝〕
偶	〔亻_日_冂_〕
嫂	〔女_臼_丨_又〕
莲	〔艹_辶_车〕
租	〔禾_且〕
暖	〔日_爫_一__又〕
疯	〔疒_几_乂〕
迈	〔辶_一__丿〕
吻	〔口_勹_〕
稿	〔禾_亠_口_冋〕
飘	〔覀_示_几_乂〕
堡	〔亻_口_木_土〕
蛋	〔乛__虫〕
渡	〔氵_广_廿_又〕
颇	〔皮_页〕
煤	〔火_甘_木〕
棋	〔木_其〕
返	〔辶_⺁_又〕
帕	〔巾_白〕
衡	〔行_⺈_大〕
仲	〔亻_中〕
饰	〔饣__巾〕
吐	〔口_土〕
寂	〔宀__一_小_又〕
浓	〔氵_冖_〕
宇	〔宀_一_〕
润	〔氵_门_王〕
荷	〔艹_亻_丁_口〕
截	〔𢦏_隹〕
频	〔止__页〕
潜	〔氵_二_人_二_人_日〕
腾	〔月__马〕
赤	〔土__八〕
饮	〔饣_欠〕
醉	〔酉_亠_人_人_十〕
凌	〔冫_土_八_夂〕
紫	〔止_匕_糸〕
泉	〔白_水〕
仇	〔亻_九〕
尾	〔尸_毛〕
绪	〔纟_者〕
幽	〔_厶__厶_山〕
淑	〔氵__一_小_又〕
丧	〔十_丷_〕
帐	〔巾_长〕
阁	〔门_夂_口〕
鸣	〔口_鸟〕
捐	〔扌_口_〕
狠	〔犭_艮〕
炮	〔火_勹_巳〕
愁	〔禾_火_心〕
嘉	〔士_口__力_口〕
旋	〔方__乛_〕
尝	〔⺌_冖_二_厶〕
唤	〔口_⺈__大〕
怨	〔夕_⺋_心〕
垂	〔千_艹_二〕
牢	〔宀_牛〕
涌	〔氵__〕
摘	〔扌__〕
尺	〔尸_〕
躲	〔身_几_木〕
爬	〔爪_巴〕
逼	〔辶_一_口_田〕
锁	〔钅_⺌_贝〕
汤	〔氵__〕
辩	〔辛_讠_辛〕
呵	〔口_丁_口〕
允	〔厶_儿〕
龄	〔齿_人_〕
惨	〔忄_厶_大_彡〕
岂	〔山_己〕
俊	〔亻_厶_八_夂〕
巡	〔辶_巛〕
寿	〔三_丿_寸〕
颗	〔日_木_页〕
鉴	〔〢__金〕
姊	〔女___丨_丿〕
详	〔讠_羊〕
闷	〔门_心〕
胞	〔月_勹_巳〕
爆	〔火_日__八_氺〕
聪	〔耳_丷_口_心〕
估	〔亻_十_口〕
嫁	〔女_宀_豕〕
擦	〔扌_宀__示〕
咬	〔口_亠_八_乂〕
崇	〔山_宀_示〕
袭	〔龙_亠_〕
矣	〔厶_矢〕
拳	〔_手〕
苍	〔艹_人_⺋〕
敦	〔亠_口_子_攵〕
瓶	〔_廾_一__乙_丶〕
拟	〔扌__丶_人〕
屈	〔尸_屮_凵〕
扭	〔扌__十〕
捕	〔扌_甫〕
撒	〔扌___攵〕
坛	〔土_二_厶〕
锋	〔钅_夂_丰〕
赴	〔走_卜〕
券	〔_刀〕
弯	〔_弓〕
扣	〔扌_口〕
裂	〔一_夕_刂_亠_〕
循	〔彳_⺁_十_目〕
抖	〔扌__十〕
踏	〔_水_日〕
籍	〔⺮_耒__日〕
戈	〔戈〕
丛	〔人_人_一〕
幻	〔_厶_〕
奏	〔_一_大〕
狱	〔犭_讠_大_丶〕
沃	〔氵__大〕
焦	〔隹_灬〕
牲	〔牜_生〕
夹	〔二_火〕
册	〔__一〕
迁	〔辶_千〕
慌	〔忄_艹_亡_〕
邪	〔牙_阝〕
谊	〔讠_宀_且〕
猫	〔犭_艹_田〕
埋	〔土_日_土〕
斜	〔人___十〕
哼	〔口_亠_口_了〕
哲	〔扌_斤_口〕
郭	〔亠_口_子_阝〕
欠	〔欠〕
梯	〔木_丷_〕
烂	〔火__二〕
铜	〔钅_同〕
虫	〔虫〕
涂	〔氵_人_〕
拼	〔扌__廾〕
掩	〔扌_大_日_乚〕
尘	〔小_土〕
桂	〔木_土_土〕
偿	〔亻_⺌_冖_二_厶〕
俱	〔亻__八〕
敲	〔亠_口_冋__又〕
抚	〔扌_一_尢〕
昂	〔日__卩〕
韦	〔_〕
撞	〔扌_立_日_土〕
搭	〔扌_艹_人_一_口〕
宪	〔宀_⺧_儿〕
凶	〔乂_凵〕
慕	〔艹_日_大_〕
盗	〔冫_欠_皿〕
霍	〔_隹〕
纽	〔纟__十〕
奴	〔女_又〕
傲	〔亻_龶__丿_攵〕
滑	〔氵_骨〕
涛	〔氵_三_丿_寸〕
穆	〔禾_白_小_彡〕
仔	〔亻_子〕
恼	〔忄_亠_乂_凵〕
添	〔氵_一_大_〕
贾	〔覀_贝〕
幼	〔_厶_力〕
瓜	〔瓜〕
哦	〔口_手_戈〕
柱	〔木_丶_王〕
池	〔氵_也〕
甫	〔甫〕
侯	〔亻__矢〕
奈	〔大_示〕
燃	〔火__大_丶_灬〕
吟	〔口_人_丶_〕
挣	〔扌_⺈_〕
割	〔宀_丰_口_刂〕
肚	〔月_土〕
惑	〔戈_口__心〕
曹	〔艹_日_日〕
颤	〔亠_囗_口_日__页〕
钻	〔钅__口〕
拾	〔扌_人_一_口〕
扰	〔扌_尤〕
纠	〔纟_丩〕
皱	〔⺈_彐_皮〕
踪	〔_宀_示〕
瘦	〔疒_臼_丨_又〕
炉	〔火_户〕
鸿	〔氵_工_鸟〕
牵	〔大_冖_牛〕
悔	〔忄__母〕
搜	〔扌_臼_丨_又〕
傅	〔亻_甫_寸〕
宿	〔宀_亻_一_白〕
辽	〔辶_了〕
浩	〔氵_⺧_口〕
聊	〔耳__丿_卩〕
栏	〔木__二〕
逻	〔辶_罒_夕〕
玻	〔王_皮〕
漠	〔氵_艹_日_大〕
宅	〔宀__七〕
揭	〔扌_日_匃〕
尸	〔尸〕
欺	〔其_欠〕
峡	〔山_二_火〕
甜	〔舌_甘〕
姨	〔女_大_弓〕
戒	〔戈_廾〕
伐	〔亻_戈〕
碗	〔石_宀_夕_⺋〕
碍	〔石_日_一_寸〕
卿	〔_丿__卩〕
昆	〔日__匕〕
串	〔口_口_丨〕
庙	〔广_由〕
沟	〔氵_勹_厶〕
冯	〔冫_马〕
羞	〔⺶__十〕
翼	〔习_习_田__八〕
袖	〔衤_由〕
溜	〔氵__丶_刀_田〕
阅	〔门_丷_口_儿〕
嘛	〔口_广_木_木〕
卧	〔臣_卜〕
浙	〔氵_扌_斤〕
耕	〔耒_二_〕
堪	〔土_其_〕
猪	〔犭_者〕
丑	〔_十〕
档	〔木_⺌_彐〕
辱	〔辰_寸〕
拨	〔扌__丿_又_丶〕
矩	〔矢_匚_〕
琳	〔王_木_木〕
疆	〔弓_土_三_田_田〕
璃	〔王_亠_乂_凵_冂_厶〕
亭	〔亠_口_冖_丁〕
衫	〔衤_彡〕
霞	〔__二__又〕
撤	〔扌_亠_厶__攵〕
湿	〔氵_日_业〕
浅	〔氵_戋〕
脏	〔月_广_土〕
挨	〔扌_厶_矢〕
役	〔彳_殳〕
慈	〔__厶__厶_心〕
驱	〔马_匚_乂〕
址	〔土_止〕
姿	〔冫_欠_女〕
扯	〔扌_止〕
赢	〔亡_口_月_贝_几_丶〕
遵	〔辶_丷_酉_寸〕
傻	〔亻__乂_八_夂〕
桃	〔木__儿〕
叙	〔人__又〕
娃	〔女_土_土〕
廷	〔廴__士〕
廊	〔广_丶__阝〕
厨	〔厂_一_口__寸〕
胖	〔月_半〕
炼	〔火___八〕
岳	〔丘_山〕
柜	〔木_匚_〕
覆	〔覀_彳__日_夂〕
贤	〔〢_又_贝〕
郁	〔__阝〕
柏	〔木_白〕
驾	〔力_口_马〕
绘	〔纟_人_二_厶〕
萧	〔艹_肀__八〕
扮	〔扌_八_刀〕
捉	〔扌_足〕
悦	〔忄_丷_口_儿〕
呈	〔口_王〕
缝	〔纟_辶_夂_丰〕
睁	〔目_⺈_〕
寺	〔土_寸〕
旨	〔匕_日〕
侍	〔亻_土_寸〕
陵	〔阝_土_八_夂〕
赌	〔贝_者〕
殿	〔尸__八_殳〕
劣	〔小_丿_力〕
嫌	〔女__〕
雾	〔_夂_力〕
愉	〔忄_人_一__刂〕
旺	〔日_王〕
饱	〔饣_勹_巳〕
扇	〔户_习_习〕
疲	〔疒_皮〕
跌	〔__人〕
惧	〔忄__八〕
挖	〔扌_穴_乙〕
械	〔木_戈_廾〕
岩	〔山_石〕
屏	〔尸__廾〕
糟	〔米_艹_日_日〕
仗	〔亻_一_乂〕
轰	〔车_又_又〕
舅	〔臼_田_力〕
兹	〔__厶__厶〕
爹	〔八_乂_夕_夕〕
妥	〔爫_女〕
豆	〔一_口_〕
捷	〔扌_一__〕
赠	〔贝_丷__日〕
秩	〔禾__人〕
伪	〔亻___丶〕
雕	〔冂_土_口_隹〕
耀	〔⺌_兀_习_习_隹〕
驶	〔马_口_乂〕
吞	〔一_大_口〕
箭	〔⺮___刂〕
苗	〔艹_田〕
疼	〔疒_夂_〕
倡	〔亻_日_日〕
膀	〔月__冖_方〕
慎	〔忄_十__八〕
孝	〔耂_子〕
涨	〔氵_弓_长〕
牺	〔牜_西〕
账	〔贝_长〕
翁	〔八_厶_习_习〕
遥	〔辶_爫__十_凵〕
娇	〔女__大_〕
嚷	〔口_亠_口_口__〕
酸	〔酉_厶_八_夂〕
篮	〔⺮_〢__皿〕
轨	〔_九〕
逢	〔辶_夂_丰〕
钦	〔钅_欠〕
朴	〔木_卜〕
链	〔钅_辶_车〕
勉	〔⺈_口_儿_力〕
滨	〔氵_宀_丘_八〕
浑	〔氵_冖_车〕
汪	〔氵_王〕
夕	〔夕〕
歇	〔日_匃_欠〕
饿	〔饣_手_戈〕
羽	〔习_习〕
倘	〔亻_⺌_冋〕
墓	〔艹_日_大_土〕
晃	〔日_⺌_兀〕
滴	〔氵__〕
贼	〔贝_戈_〕
疏	〔乛_止_亠_厶_〕
披	〔扌_皮〕
吵	〔口_小_丿〕
摊	〔扌_又_隹〕
稀	〔禾_乂__巾〕
恭	〔_八_〕
茫	〔艹_氵_亡〕
吁	〔口_一_〕
滋	〔氵___厶__厶〕
抛	〔扌_九_力〕
盼	〔目_八_刀〕
氛	〔气_八_刀〕
绳	〔纟_口_日_乚〕
玄	〔亠__厶〕
宴	〔宀_日_女〕
艳	〔丰_⺈_巴〕
剪	〔__刂_刀〕
裕	〔衤_八_人_口〕
盈	〔_丿_又_皿〕
悟	〔忄_工__口〕
卜	〔卜〕
韵	〔立_日_勹_冫〕
刷	〔尸_巾_刂〕
堤	〔土_是〕
塑	〔__月_土〕
笼	〔⺮_龙〕
窝	〔穴_口_冂_人〕
毅	〔立__殳〕
悬	〔且_厶_心〕
寸	〔寸〕
灌	〔氵_艹_口_口_隹〕
熊	〔厶__匕_匕_灬〕
盯	〔目_丁〕
谅	〔讠_亠_口_小〕
胁	〔月_力_八〕
柴	〔止_匕_木〕
畅	〔申__〕
诱	〔讠_禾__丿〕
吊	〔口_巾〕
悠	〔亻_丨_攵_心〕
贪	〔人_丶__贝〕
葡	〔艹_勹_甫〕
御	〔彳__一_止_卩〕
诞	〔讠_廴__止〕
裤	〔衤_广_车〕
铃	〔钅_人_〕
忌	〔己_心〕
逝	〔辶_扌_斤〕
瞪	〔目__一_口_〕
渴	〔氵_日_匃〕
遂	〔辶_丷_豕〕
卓	〔_日_十〕
渠	〔氵_匚__木〕
殖	〔一_夕_十_〕
柯	〔木_丁_口〕
舌	〔舌〕
盆	〔八_刀_皿〕
潘	〔氵_釆_田〕
蓄	〔艹_亠__厶_田〕
脉	〔月_永〕
扔	〔扌__丿〕
溪	〔氵_爫__厶_大〕
誓	〔扌_斤_言〕
履	〔尸_彳__日_夂〕
脆	〔月_⺈_厂_⺋〕
懒	〔忄_木_口_⺈_贝〕
凑	〔冫__一_大〕
框	〔木_匚_王〕
戚	〔戊__一_小〕
愚	〔日_冂__心〕
徽	〔彳_山_一_糸_攵〕
蛇	〔虫_宀_匕〕
瑟	〔王_王_心_丿〕
杭	〔木_亠_几〕
抹	〔扌_一_木〕
姚	〔女__儿〕
庞	〔广_龙〕
晋	〔一_业_日〕
枚	〔木_攵〕
巾	〔巾〕
唉	〔口_厶_矢〕
劫	〔土_厶_力〕
葛	〔艹_日_匃〕
惟	〔忄_隹〕
翰	〔十_日_十_人_习_习〕
赋	〔贝_一_弋_止〕
脾	〔月___十〕
捧	〔扌__〕
炎	〔火_火〕
圳	〔土_川〕
糖	〔米_广_肀_口〕
耻	〔耳_止〕
挡	〔扌_⺌_彐〕
症	〔疒_一_止〕
彭	〔士_口__彡〕
昭	〔日_刀_口〕
夸	〔大_二_〕
缠	〔纟_广_日_土〕
妨	〔女_方〕
喂	〔口_田_〕
袁	〔土_口_〕
轿	〔__大_〕
弥	〔弓_⺈_小〕
喷	〔口_十_艹_贝〕
臭	〔自_大_丶〕
腊	〔月__日〕
侨	〔亻__大_〕
痕	〔疒_艮〕
狼	〔犭_丶_艮〕
衰	〔亠__〕
碧	〔王_白_石〕
谨	〔讠_廿_口_龶〕
酷	〔酉_⺧_口〕
霸	〔_革_月〕
袍	〔衤_勹_巳〕
慨	〔忄__旡〕
哩	〔口_日_土〕
诊	〔讠_人_彡〕
拦	〔扌__二〕
泼	〔氵__丿_又_丶〕
猎	〔犭__日〕
拆	〔扌_斤_丶〕
厦	〔厂_一_自_夂〕
咐	〔口_亻_寸〕
赔	〔贝_立_口〕
押	〔扌_甲〕
乙	〔乙〕
愧	〔忄_鬼〕
祸	〔礻_口_冂_人〕
耗	〔耒_毛〕
渔	〔氵_鱼〕
纹	〔纟_文〕
蓬	〔艹_辶_夂_丰〕
尉	〔尸_示_寸〕
抑	〔扌__卩〕
勾	〔勹_厶〕
锐	〔钅_丷_口_儿〕
畜	〔亠__厶_田〕
洒	〔氵_西〕
遮	〔辶_广_廿_灬〕
秒	〔禾_小_丿〕
催	〔亻_山_隹〕
脖	〔月_十_冖_子〕
侠	〔亻_二_火〕
魏	〔禾_女_鬼〕
盲	〔亡_目〕
耸	〔人_人_耳〕
僧	〔亻_丷__日〕
聘	〔耳_由_一_〕
娶	〔耳_又_女〕
仓	〔人_⺋〕
惩	〔彳_一_止_心〕
碑	〔石___十〕
蜜	〔宀_心_丿_虫〕
齿	〔齿〕
焉	〔一_止_一__灬〕
妖	〔女__大〕
寓	〔宀_日_冂_〕
挽	〔扌_⺈_口_儿〕
婉	〔女_宀_夕_⺋〕
腔	〔月_穴_工〕
矮	〔矢_禾_女〕
漏	〔氵_尸_雨〕
辟	〔尸_口_辛〕
惹	〔艹__口_心〕
滩	〔氵_又_隹〕
丘	〔丘〕
兽	〔丷_田_一_口〕
盒	〔人_一_口_皿〕
寨	〔宀__八_木〕
衷	〔亠_中_〕
削	〔⺌__刂〕
怖	〔忄__巾〕
茨	〔艹_冫_欠〕
顽	〔二_儿_页〕
虹	〔虫_工〕
倦	〔亻__⺋〕
荪	〔艹_子_小〕
岭	〔山_人_〕
喘	〔口_山_而〕
葬	〔艹_一_夕_匕_廾〕
肤	〔月_二_人〕
鞭	〔革_亻_一_日_乂〕
腹	〔月__日_夂〕
赐	〔贝_日_勹_〕
崔	〔山_隹〕
谦	〔讠__〕
撑	〔扌_⺌_冖_口_手〕
芒	〔艹_亡〕
罩	〔罒__日_十〕
菊	〔艹_勹_米〕
贞	〔_贝〕
豫	〔_乛_亅_⺈_口_〕
颁	〔八_刀_页〕
姜	〔⺷_女〕
痴	〔疒_矢_口〕
骄	〔马__大_〕
填	〔土_十__八〕
屠	〔尸_者〕
杆	〔木_一_十〕
掏	〔扌_勹__十_凵〕
骤	〔马_耳_又_乑〕
狄	〔犭_火〕
旱	〔日_一_十〕
陕	〔阝_二_火〕
煌	〔火_白_王〕
